documento_id,cliente_id,fecha_factura,fecha_vencimiento,monto_factura_cop,saldo_cop,estado,dias_mora,region,ciudad
1,71,2024-02-21,2024-03-22,11758396,0,Pagado,0,Caribe,Santa Marta
2,41,2023-03-27,2023-06-25,4550072,0,Pagado,0,Santanderes,Bucaramanga
3,204,2024-03-24,2024-05-23,9905656,0,Pagado,0,Santanderes,Cúcuta
4,81,2024-06-28,2024-07-28,6775080,4497181,En mora,156,Pacífico,Popayán
5,139,2024-10-20,2024-12-19,46067040,33682052,En mora,12,Llanos,Villavicencio
6,197,2024-02-22,2024-04-22,24719716,12739062,En mora,253,Santanderes,Barrancabermeja
7,99,2023-10-21,2024-01-19,52701888,0,Pagado,0,Pacífico,Popayán
8,112,2023-05-18,2023-06-17,14566336,6665533,En mora,563,Caribe,Sincelejo
9,58,2024-03-24,2024-04-23,12069940,8111548,En mora,252,Caribe,Sincelejo
10,67,2024-12-09,2025-03-09,38068672,38068672,Vigente,0,Pacífico,Popayán
11,177,2022-06-23,2022-08-22,4484256,0,Pagado,0,Llanos,Yopal
12,9,2024-06-22,2024-09-20,16345900,11033090,En mora,102,Llanos,Villavicencio
13,201,2023-12-23,2024-03-22,35263058,0,Pagado,0,Caribe,Valledupar
14,168,2023-07-31,2023-10-29,3880992,0,Pagado,0,Santanderes,Barrancabermeja
15,107,2023-02-13,2023-05-14,8418690,0,Pagado,0,Pacífico,Popayán
16,21,2023-04-10,2023-06-09,1498995,1259172,En mora,571,Llanos,Yopal
17,181,2024-12-22,2025-01-21,8502849,8502849,Vigente,0,Eje Cafetero,Manizales
18,21,2024-12-14,2025-02-12,21713796,21713796,Vigente,0,Llanos,Yopal
19,39,2023-05-25,2023-07-24,2584165,0,Pagado,0,Caribe,Valledupar
20,7,2024-07-11,2024-09-09,17620448,0,Pagado,0,Eje Cafetero,Pereira
21,67,2024-05-19,2024-07-18,9902960,0,Pagado,0,Pacífico,Popayán
22,4,2023-09-15,2023-12-14,2844072,0,Pagado,0,Santanderes,Bucaramanga
23,154,2024-02-09,2024-04-09,22861102,0,Pagado,0,Llanos,Villavicencio
24,66,2023-05-16,2023-08-14,32793984,0,Pagado,0,Santanderes,Barrancabermeja
25,94,2023-03-28,2023-04-27,35310451,0,Pagado,0,Caribe,Cartagena
26,40,2022-12-12,2023-03-12,10141677,0,Pagado,0,Pacífico,Buenaventura
27,207,2023-04-21,2023-07-20,14748352,0,Pagado,0,Pacífico,Buenaventura
28,165,2023-01-03,2023-04-03,326232,0,Pagado,0,Santanderes,Cúcuta
29,69,2024-06-07,2024-08-06,16911275,0,Pagado,0,Santanderes,Bucaramanga
30,217,2022-04-30,2022-07-29,13140176,0,Pagado,0,Llanos,Yopal
31,158,2024-05-28,2024-07-27,4476808,4153054,En mora,157,Pacífico,Pasto
32,85,2023-02-07,2023-03-09,4062420,0,Pagado,0,Pacífico,Popayán
33,151,2024-07-05,2024-09-03,38660040,21929309,En mora,119,Eje Cafetero,Armenia
34,14,2023-02-19,2023-04-20,5840684,0,Pagado,0,Pacífico,Pasto
35,36,2024-10-01,2024-11-30,14226923,7500992,En mora,31,Llanos,Arauca
36,175,2023-06-05,2023-09-03,763020,0,Pagado,0,Caribe,Valledupar
37,12,2023-06-29,2023-08-28,6545436,0,Pagado,0,Caribe,Sincelejo
38,94,2024-05-21,2024-08-19,426816,0,Pagado,0,Caribe,Cartagena
39,94,2023-02-10,2023-03-12,689227,617696,En mora,660,Caribe,Cartagena
40,3,2024-07-13,2024-08-12,4230583,0,Pagado,0,Pacífico,Cali
41,24,2024-07-23,2024-10-21,8585724,7727650,En mora,71,Pacífico,Cali
42,10,2024-03-15,2024-05-14,15591170,0,Pagado,0,Caribe,Cartagena
43,197,2022-06-25,2022-09-23,7482228,0,Pagado,0,Santanderes,Barrancabermeja
44,148,2023-03-03,2023-06-01,6824768,2895716,En mora,579,Llanos,Villavicencio
45,188,2024-03-25,2024-04-24,7139328,0,Pagado,0,Caribe,Sincelejo
46,130,2023-01-08,2023-03-09,10302888,7005475,En mora,663,Eje Cafetero,Pereira
47,170,2022-08-19,2022-11-17,32911549,16303880,En mora,775,Santanderes,Bucaramanga
48,55,2024-09-10,2024-12-09,1550235,0,Pagado,0,Caribe,Cartagena
49,158,2022-08-05,2022-09-04,7875624,6128578,En mora,849,Pacífico,Pasto
50,13,2022-07-09,2022-09-07,1386480,0,Pagado,0,Santanderes,Cúcuta
51,196,2024-02-24,2024-05-24,15744190,0,Pagado,0,Llanos,Arauca
52,77,2024-03-14,2024-04-13,32944574,0,Pagado,0,Llanos,Yopal
53,157,2022-03-26,2022-05-25,8107260,0,Pagado,0,Santanderes,Bucaramanga
54,81,2024-06-21,2024-07-21,530240,0,Pagado,0,Pacífico,Popayán
55,155,2024-04-13,2024-05-13,39501316,0,Pagado,0,Pacífico,Pasto
56,51,2024-02-17,2024-04-17,40367900,0,Pagado,0,Llanos,Arauca
57,28,2023-02-13,2023-03-15,33102960,0,Pagado,0,Caribe,Valledupar
58,16,2022-05-28,2022-08-26,21192675,18190196,En mora,858,Pacífico,Popayán
59,170,2022-05-10,2022-08-08,3650052,0,Pagado,0,Santanderes,Bucaramanga
60,153,2024-12-26,2025-02-24,3825800,3825800,Vigente,0,Caribe,Valledupar
61,155,2024-01-05,2024-02-04,39446358,0,Pagado,0,Pacífico,Pasto
62,36,2024-09-27,2024-12-26,16394093,0,Pagado,0,Llanos,Arauca
63,143,2022-12-31,2023-01-30,19289843,0,Pagado,0,Pacífico,Pasto
64,94,2022-02-12,2022-03-14,12520953,0,Pagado,0,Caribe,Cartagena
65,32,2023-08-19,2023-11-17,14919270,6138315,En mora,410,Santanderes,Bucaramanga
66,14,2024-07-03,2024-09-01,11132800,0,Pagado,0,Pacífico,Pasto
67,73,2022-08-23,2022-09-22,15962320,0,Pagado,0,Eje Cafetero,Pereira
68,148,2023-11-18,2024-02-16,17338368,8221253,En mora,319,Llanos,Villavicencio
69,126,2024-03-18,2024-05-17,14497776,9263195,En mora,228,Caribe,Cartagena
70,173,2023-12-12,2024-02-10,193770,0,Pagado,0,Santanderes,Barrancabermeja
71,26,2024-12-26,2025-01-25,44266770,44266770,Vigente,0,Caribe,Sincelejo
