importacion_id;proveedor;pais_origen;fecha_orden;fecha_llegada;trm;costo_mercancia_usd;flete_usd;arancel_cop;otros_costos_cop;centro_logistico
1;Proveedor MÉX 2;México;13/03/2024;20/04/2024;4204,15;112897,47;13098,33;37018618;14413248;Cali
2;Proveedor EST 3;Estados Unidos;11/02/2024;22/04/2024;4411,69;92066,03;10235,17;37351099;5220502;Barranquilla
3;Proveedor MÉX 7;México;11/07/2022;20/09/2022;3991,57;118519,99;6096,59;29145216;2598034;Cali
4;Proveedor MÉX 5;México;12/01/2024;12/02/2024;3644,8;131209,88;15793,18;46588282;3271844;Barranquilla
5;Proveedor CHI 4;China;15/03/2023;5/05/2023;4140,78;81551,33;5490,05;31534873;7180561;Barranquilla
6;Proveedor CHI 5;China;9/10/2022;17/11/2022;4277,44;102562,17;5592,76;38369564;10136178;Bogotá
7;Proveedor CHI 10;China;19/03/2022;30/05/2022;4153,45;131343,68;15218,71;36165022;2917393;Barranquilla
8;Proveedor CHI 3;China;11/02/2024;21/03/2024;4306,66;23446,47;2545,76;14542865;9481164;Bogotá
9;Proveedor MÉX 1;México;6/12/2022;20/02/2023;4026,99;103627,47;9930,13;43634298;14239042;Barranquilla
10;Proveedor EST 4;Estados Unidos;17/01/2024;30/03/2024;4024,71;144954,77;20371,23;40592518;2901696;Cali
11;Proveedor EST 8;Estados Unidos;7/08/2023;24/10/2023;3710,86;22368,84;1329,7;9819859;2925452;Cali
12;Proveedor CHI 4;China;5/05/2023;23/06/2023;3950,87;129833,79;6793,84;67426505;5664112;Barranquilla
13;Proveedor EST 7;Estados Unidos;21/06/2024;19/08/2024;3729,98;110575,83;12483,38;56813231;11555923;Barranquilla
14;Proveedor MÉX 10;México;7/05/2024;16/06/2024;4483,83;56664,49;3838,68;31774861;12488851;Bogotá
15;Proveedor CHI 8;China;28/05/2023;30/06/2023;4689,56;73640,3;6421,57;44079722;6430446;Cali
16;Proveedor EST 2;Estados Unidos;30/07/2022;13/10/2022;4623,83;131593,66;12224,97;76111340;11809057;Cali
17;Proveedor EST 5;Estados Unidos;21/06/2022;7/09/2022;3713,44;137331,88;13805,32;67645841;6160644;Bogotá
18;Proveedor EST 4;Estados Unidos;29/10/2022;25/12/2022;4585,08;70596,22;3606,32;45490713;3186726;Bogotá
19;Proveedor EST 1;Estados Unidos;17/12/2023;17/01/2024;3951,25;143508,06;20817,38;60867816;10213883;Barranquilla
