fecha_corte,centro_logistico,producto_id,categoria,subcategoria,stock_unidades,valor_inventario_cop
2023-01-31,Bogotá,127,Tecnología y Seguridad,Control de acceso,139,123097392
2023-01-31,Bogotá,32,Herramientas Industriales,Compresores,189,170487583
2023-01-31,Bogotá,141,Materiales de Construcción,Tuberías,52,44734338
2023-01-31,Bogotá,108,Tecnología y Seguridad,DVR,103,78471323
2023-01-31,Bogotá,114,Tecnología y Seguridad,Sensores,74,71254341
2023-01-31,Bogotá,79,Repuestos Automotrices,Frenos,99,75390330
2023-01-31,Bogotá,119,Tecnología y Seguridad,Sensores,89,28033312
2023-01-31,Bogotá,146,Materiales de Construcción,Aislantes,100,5502862
2023-01-31,Bogotá,124,Tecnología y Seguridad,Control de acceso,59,28156339
2023-01-31,Bogotá,56,Equipos Eléctricos,Cables,163,50520004
2023-01-31,Bogotá,133,Materiales de Construcción,Adhesivos,48,42859144
2023-01-31,Bogotá,113,Tecnología y Seguridad,Sensores,232,61957550
2023-01-31,Bogotá,109,Tecnología y Seguridad,DVR,165,55578178
2023-01-31,Bogotá,74,Repuestos Automotrices,Frenos,287,189165727
2023-01-31,Bogotá,69,Repuestos Automotrices,Filtros,200,110365980
2023-01-31,Bogotá,8,Herramientas Industriales,Taladros,223,46428967
2023-01-31,Bogotá,121,Tecnología y Seguridad,Control de acceso,180,177802466
2023-01-31,Bogotá,140,Materiales de Construcción,Tuberías,153,118817577
2023-01-31,Bogotá,152,Materiales de Construcción,Aislantes,74,40488624
2023-01-31,Bogotá,118,Tecnología y Seguridad,Sensores,160,34796051
2023-01-31,Bogotá,159,Materiales de Construcción,Impermeabilizantes,54,23694640
2023-01-31,Bogotá,110,Tecnología y Seguridad,DVR,302,204814565
2023-01-31,Bogotá,138,Materiales de Construcción,Tuberías,114,58406718
2023-01-31,Bogotá,63,Equipos Eléctricos,Tableros,164,39328228
2023-01-31,Bogotá,48,Equipos Eléctricos,Breakers,147,112709967
2023-01-31,Bogotá,81,Repuestos Automotrices,Lubricantes,144,55525783
2023-01-31,Bogotá,77,Repuestos Automotrices,Frenos,26,4062581
2023-01-31,Bogotá,62,Equipos Eléctricos,Tableros,106,35611842
2023-01-31,Bogotá,116,Tecnología y Seguridad,Sensores,109,93490939
2023-01-31,Bogotá,51,Equipos Eléctricos,Cables,89,4549672
2023-01-31,Bogotá,128,Tecnología y Seguridad,Control de acceso,88,18277338
2023-01-31,Bogotá,160,Materiales de Construcción,Impermeabilizantes,66,12242072
2023-01-31,Bogotá,142,Materiales de Construcción,Tuberías,65,26352891
2023-01-31,Bogotá,67,Repuestos Automotrices,Filtros,89,12801253
2023-01-31,Bogotá,46,Equipos Eléctricos,Breakers,65,9402973
2023-01-31,Bogotá,101,Tecnología y Seguridad,Cámaras,37,26352268
2023-01-31,Bogotá,34,Equipos Eléctricos,Transformadores,134,23771857
2023-01-31,Bogotá,158,Materiales de Construcción,Impermeabilizantes,197,169572324
2023-01-31,Bogotá,7,Herramientas Industriales,Taladros,271,253027519
2023-01-31,Bogotá,117,Tecnología y Seguridad,Sensores,153,85618872
2023-01-31,Bogotá,16,Herramientas Industriales,Llaves,24,15287822
2023-01-31,Bogotá,49,Equipos Eléctricos,Cables,92,52049125
2023-01-31,Bogotá,89,Repuestos Automotrices,Bujías,110,72929774
2023-01-31,Bogotá,31,Herramientas Industriales,Compresores,137,60895618
2023-01-31,Bogotá,157,Materiales de Construcción,Impermeabilizantes,46,2114226
2023-01-31,Bogotá,132,Materiales de Construcción,Adhesivos,24,4097286
2023-01-31,Bogotá,123,Tecnología y Seguridad,Control de acceso,179,6562261
2023-01-31,Bogotá,17,Herramientas Industriales,Sierras,77,6153821
2023-01-31,Bogotá,42,Equipos Eléctricos,Breakers,152,50460420
2023-01-31,Bogotá,38,Equipos Eléctricos,Transformadores,167,131758795
2023-01-31,Bogotá,98,Tecnología y Seguridad,Cámaras,95,36231727
2023-01-31,Bogotá,137,Materiales de Construcción,Tuberías,77,65462697
2023-01-31,Bogotá,27,Herramientas Industriales,Compresores,188,168389771
2023-01-31,Bogotá,78,Repuestos Automotrices,Frenos,61,62060282
2023-01-31,Bogotá,52,Equipos Eléctricos,Cables,20,6338722
2023-01-31,Bogotá,111,Tecnología y Seguridad,DVR,45,31133782
2023-01-31,Bogotá,29,Herramientas Industriales,Compresores,52,5946289
2023-01-31,Bogotá,126,Tecnología y Seguridad,Control de acceso,112,36194285
2023-01-31,Bogotá,60,Equipos Eléctricos,Tableros,144,135603296
2023-01-31,Bogotá,58,Equipos Eléctricos,Tableros,101,62020482
2023-01-31,Barranquilla,53,Equipos Eléctricos,Cables,161,159204895
2023-01-31,Barranquilla,15,Herramientas Industriales,Llaves,196,114381838
2023-01-31,Barranquilla,103,Tecnología y Seguridad,Cámaras,68,44921491
2023-01-31,Barranquilla,79,Repuestos Automotrices,Frenos,150,108036065
2023-01-31,Barranquilla,36,Equipos Eléctricos,Transformadores,91,71098577
2023-01-31,Barranquilla,145,Materiales de Construcción,Aislantes,187,61831080
2023-01-31,Barranquilla,130,Materiales de Construcción,Adhesivos,206,113748183
2023-01-31,Barranquilla,26,Herramientas Industriales,Compresores,53,54220422
2023-01-31,Barranquilla,111,Tecnología y Seguridad,DVR,96,63616128
2023-01-31,Barranquilla,119,Tecnología y Seguridad,Sensores,154,45131827
2023-01-31,Barranquilla,86,Repuestos Automotrices,Lubricantes,162,121652329
2023-01-31,Barranquilla,124,Tecnología y Seguridad,Control de acceso,135,57430345
2023-01-31,Barranquilla,104,Tecnología y Seguridad,Cámaras,133,15173240
2023-01-31,Barranquilla,92,Repuestos Automotrices,Bujías,248,253813842
2023-01-31,Barranquilla,51,Equipos Eléctricos,Cables,73,3700620
2023-01-31,Barranquilla,156,Materiales de Construcción,Impermeabilizantes,43,20169195
2023-01-31,Barranquilla,138,Materiales de Construcción,Tuberías,166,86691297
2023-01-31,Barranquilla,93,Repuestos Automotrices,Bujías,138,41652699
2023-01-31,Barranquilla,98,Tecnología y Seguridad,Cámaras,227,77290841
2023-01-31,Barranquilla,14,Herramientas Industriales,Llaves,150,32940955
2023-01-31,Barranquilla,57,Equipos Eléctricos,Tableros,114,109594880
2023-01-31,Barranquilla,69,Repuestos Automotrices,Filtros,66,37330006
2023-01-31,Barranquilla,4,Herramientas Industriales,Taladros,179,14962334
2023-01-31,Barranquilla,129,Materiales de Construcción,Adhesivos,215,195451927
2023-01-31,Barranquilla,75,Repuestos Automotrices,Frenos,132,9205922
2023-01-31,Barranquilla,117,Tecnología y Seguridad,Sensores,159,98472953
2023-01-31,Barranquilla,102,Tecnología y Seguridad,Cámaras,209,38655884
2023-01-31,Barranquilla,13,Herramientas Industriales,Llaves,212,107305470
